Num,DataCode,Value
0,0,0,
1,1,0,
2,2,0,
3,3,0,
4,4,0,
5,5,0,
6,6,0,
7,7,0,
8,8,0,
9,9,0,
10,10,0,
11,11,0,
12,12,0,
13,13,0,
14,200110,0,
15,200111,0,
16,200112,0,
17,200120,0,
18,200121,0,
19,200122,0,
20,200130,0,
21,200131,0,
22,200132,0,
23,200140,0,
24,200141,0,
25,200142,0,
26,201110,0,
27,201111,0,
28,201112,0,
29,201120,0,
30,201121,0,
31,201122,0,
32,201130,0,
33,201131,0,
34,201132,0,
35,201140,0,
36,201141,0,
37,201142,0,
38,220110,0,
39,220111,0,
40,220112,0,
41,220120,0,
42,220121,0,
43,220122,0,
44,220130,0,
45,220131,0,
46,220132,0,
47,221110,0,
48,221111,0,
49,221112,0,
50,221120,0,
51,221121,0,
52,221122,0,
53,221130,0,
54,221131,0,
55,221132,0,
56,240110,0,
57,240111,0,
58,240112,0,
59,240120,0,
60,240121,0,
61,240122,0,
62,240130,0,
63,240131,0,
64,240132,0,
65,240140,0,
66,240141,0,
67,240142,0,
68,240150,0,
69,240151,0,
70,240152,0,
71,241110,0,
72,241111,0,
73,241112,0,
74,241120,0,
75,241121,0,
76,241122,0,
77,241130,0,
78,241131,0,
79,241132,0,
80,241140,0,
81,241141,0,
82,241142,0,
83,241150,0,
84,241151,0,
85,241152,0,
86,402090,0,
87,402091,0,
88,402092,0,
89,402010,0,
90,402011,0,
91,402012,0,
92,402020,0,
93,402021,0,
94,402022,0,
95,402030,0,
96,402031,0,
97,402032,0,
98,402040,0,
99,402041,0,
100,402042,0,
101,402050,0,
102,402051,0,
103,402052,0,
104,402060,0,
105,402061,0,
106,402062,0,
107,402070,0,
108,402071,0,
109,402072,0,
110,402080,0,
111,402081,0,
112,402082,0,
113,422090,0,
114,422091,0,
115,422092,0,
116,422010,0,
117,422011,0,
118,422012,0,
119,422020,0,
120,422021,0,
121,422022,0,
122,422030,0,
123,422031,0,
124,422032,0,
125,422040,0,
126,422041,0,
127,422042,0,
128,422050,0,
129,422051,0,
130,422052,0,
131,422060,0,
132,422061,0,
133,422062,0,
134,422070,0,
135,422071,0,
136,422072,0,
137,422080,0,
138,422081,0,
139,422082,0,
140,400111,0,
141,400121,0,
142,400131,0,
143,400141,0,
144,401111,0,
145,401121,0,
146,401131,0,
147,401141,0,
148,420111,0,
149,420121,0,
150,420131,0,
151,421111,0,
152,421121,0,
153,421131,0,
154,440111,0,
155,440121,0,
156,440131,0,
157,440141,0,
158,440151,0,
159,441111,0,
160,441121,0,
161,441131,0,
162,441141,0,
163,441151,0,
164,462090,0,
165,600110,0,
166,600120,0,
167,600130,0,
168,600140,0,
169,601110,0,
170,601120,0,
171,601130,0,
172,601140,0,
173,620110,0,
174,620120,0,
175,620130,0,
176,621110,0,
177,621120,0,
178,621130,0,
179,640110,0,
180,640120,0,
181,640130,0,
182,640140,0,
183,640150,0,
184,641110,0,
185,641120,0,
186,641130,0,
187,641140,0,
188,641150,0,
189,660000,0,
