Combo
0,905,X
1,101,X
2,301,X
3,501,X
4,201,X
5,401,X
6,601,X
Z
Pattern
0,P
0,901,0,0,-15,2,0
X
1,P
0,991,0,1,0,0,0
1,901,0,8,2,5,0
2,900,0,0,0,1.2,0
3,101,0,1,0.8,0,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
2,P
0,991,0,2,0,0,0
1,901,0,8,2,5,0
2,900,0,0,0,1.2,0
3,101,0,2,0.8,0,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
3,P
0,991,0,3,0,0,0
1,901,0,8,2,5,0
2,900,0,0,0,1.2,0
3,101,0,3,0.8,0,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
4,P
0,991,0,1,0,0,0
1,901,0,8,2,5,0
2,900,0,0,0,1.2,0
3,900,0,7,0,0.6,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
5,P
0,991,0,1,0,0,0
1,901,0,1,6,5,0
2,900,0,0,0,1.2,0
3,101,0,4,0.8,0,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
6,P
0,991,0,2,0,0,0
1,901,0,1,6,5,0
2,900,0,0,0,1.2,0
3,101,0,5,0.8,0,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
7,P
0,991,0,3,0,0,0
1,901,0,1,6,5,0
2,900,0,0,0,1.2,0
3,101,0,6,0.8,0,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
8,P
0,991,0,1,0,0,0
1,901,0,1,6,5,0
2,900,0,0,0,1.2,0
3,900,0,0,0,0.6,0
4,900,0,0,0,1.2,0
5,900,0,5,0,1.8,0
X
Z
ReactPattern
0,RP
C,10,C
0,901,0,0,-15,2,0
X
Z
RevengePattern
0,RVP
V,5
0,101,0,1,0.8,0,0
X
Z
PatternSet
1,2,4,5,6,1,X
Z
