Num,DataCode,Value
0,0,0,
1,1,0,
2,2,0,
3,3,0,
4,4,0,
5,5,0,
6,6,0,
7,7,0,
8,8,0,
9,9,0,
10,10,0,
11,11,0,
12,12,0,
13,13,0,
14,14,37,
15,200110,1,
16,200111,0,
17,200112,0,
18,200120,0,
19,200121,0,
20,200122,0,
21,200130,0,
22,200131,0,
23,200132,0,
24,200140,0,
25,200141,0,
26,200142,0,
27,201110,0,
28,201111,0,
29,201112,0,
30,201120,0,
31,201121,0,
32,201122,0,
33,201130,0,
34,201131,0,
35,201132,0,
36,201140,0,
37,201141,0,
38,201142,0,
39,220110,0,
40,220111,0,
41,220112,0,
42,220120,0,
43,220121,0,
44,220122,0,
45,220130,0,
46,220131,0,
47,220132,0,
48,221110,1,
49,221111,0,
50,221112,0,
51,221120,0,
52,221121,0,
53,221122,0,
54,221130,0,
55,221131,0,
56,221132,0,
57,240110,0,
58,240111,0,
59,240112,0,
60,240120,0,
61,240121,0,
62,240122,0,
63,240130,0,
64,240131,0,
65,240132,0,
66,240140,0,
67,240141,0,
68,240142,0,
69,240150,0,
70,240151,0,
71,240152,0,
72,241110,0,
73,241111,0,
74,241112,0,
75,241120,0,
76,241121,0,
77,241122,0,
78,241130,0,
79,241131,0,
80,241132,0,
81,241140,0,
82,241141,0,
83,241142,0,
84,241150,0,
85,241151,0,
86,241152,0,
87,402090,0,
88,402091,0,
89,402092,0,
90,402010,0,
91,402011,0,
92,402012,0,
93,402020,0,
94,402021,0,
95,402022,0,
96,402030,0,
97,402031,0,
98,402032,0,
99,402040,0,
100,402041,0,
101,402042,0,
102,402050,0,
103,402051,0,
104,402052,0,
105,402060,0,
106,402061,0,
107,402062,0,
108,402070,0,
109,402071,0,
110,402072,0,
111,402080,0,
112,402081,0,
113,402082,0,
114,422090,0,
115,422091,0,
116,422092,0,
117,422010,0,
118,422011,0,
119,422012,0,
120,422020,0,
121,422021,0,
122,422022,0,
123,422030,0,
124,422031,0,
125,422032,0,
126,422040,0,
127,422041,0,
128,422042,0,
129,422050,0,
130,422051,0,
131,422052,0,
132,422060,0,
133,422061,0,
134,422062,0,
135,422070,0,
136,422071,0,
137,422072,0,
138,422080,0,
139,422081,0,
140,422082,0,
141,400111,0,
142,400121,0,
143,400131,0,
144,400141,0,
145,401111,0,
146,401121,0,
147,401131,0,
148,401141,0,
149,420111,0,
150,420121,0,
151,420131,0,
152,421111,1,
153,421121,0,
154,421131,0,
155,440111,0,
156,440121,0,
157,440131,0,
158,440141,0,
159,440151,0,
160,441111,0,
161,441121,0,
162,441131,0,
163,441141,0,
164,441151,0,
165,462090,0,
166,600110,0,
167,600120,0,
168,600130,0,
169,600140,0,
170,601110,0,
171,601120,0,
172,601130,0,
173,601140,0,
174,620110,0,
175,620120,0,
176,620130,0,
177,621110,0,
178,621120,0,
179,621130,0,
180,640110,0,
181,640120,0,
182,640130,0,
183,640140,0,
184,640150,0,
185,641110,0,
186,641120,0,
187,641130,0,
188,641140,0,
189,641150,0,
190,660000,0,
